name,county,type,contact_person,phone,email,sub_county,nearest-landmark,lat,lon
Sake dispensary,Mandera,Hospital,,,,Mandera West,Sake,3.64164,39.78695
Sakutiek Health Centre,Narok,Hospital,,,,Narok North,Naivasha,-0.84756,36.14842
Sala Dispensary,Mandera,Hospital,,,,Lafey, ,3.933343,41.27377
Salaam Hospital,Mombasa,Hospital,,,,Mvita,Majengo,-4.0447,39.66391
Salabani Dispensary,Baringo,Hospital,,,,Baringo Central,Marigat,0.54911,36.05096
Salabwek Dispensary,Narok,Hospital,,,,Narok South,Mulot,-1.0734,35.415434
Salala Medical Clinic,Turkana,Hospital,,,,Turkana West,Lokichoggio,4.24126,34.3986
Salalma Dispensary,Wajir,Hospital,,,,Wajir South, ,0.9245,40.7106
Salama (Baptist) Nursing Home,Makueni,Hospital,,,,Mukaa,Salama Mkt,-1.85311,37.25851
Salama Clinic,Kajiado,Hospital,,,,Kajiado North,Ngong,-1.3559,36.6768
Salama Dawa Health Services,Meru,Hospital,,,,Igembe North,Mutuati Market,0.38413,37.98097
Salama Health Centre (Laikipia West),Laikipia,Hospital,,,,Nyahururu,Salama Centre,0.12182,36.49105
Salama Lab Services,Marsabit,Hospital,,,,Moyale,Moyale,3.5268,39.0599
Salama Medical Clinic,Nyeri,Hospital,,,,Mathira East,Magutu,-0.459456,37.1251
Salama Medical Clinic (Embu),Embu,Hospital,,,,Manyatta,Karingari Market,-0.4697,37.5064
Salama Nursing Home,Nairobi,Hospital,,,,Kamukunji,Eastleigh,-1.27587,36.85148
Salawa Catholic Mission Dispensary PHC,Baringo,Hospital,,,,Baringo Central,Kabarnet,0.49138,35.66444
Salawa Health Centre,Baringo,Hospital,,,,Baringo Central,Kabarnet,0.49678,35.66091
Salem Medical Services,Kitui,Hospital,,,,Mwingi Central,Mwingi,-0.93901,38.06094
Salgaa Intergrated VCT,Nakuru,Hospital,,,,Rongai, ,-0.2072,35.84929
Salivin Medical Clinic,Bungoma,Hospital,,,,Bungoma South,Bungoma Town,0.55749,34.55993
Salvage Medical Clinic,Kajiado,Hospital,,,,Kajiado Central,Namanga,-1.84135,36.78488
Sam Medical Clinic,Nyandarua,Hospital,,,,Nyandarua South,Murungaru Town,-0.5848,36.49115
Samaad Hospital,Wajir,Hospital,,,,Wajir East,KPLC,1.7517,40.05192
Samaria Maternity Home,Nyeri,Hospital,,,,Kieni East,Kiamathaga,-0.30762,37.09516
Samaritan Health Services,Meru,Hospital,,,,Igembe South,Maua,0.23639,37.94103
Samaritan Medical Clinic,Nyeri,Hospital,,,,Kieni West,Endarasha,-0.291524,36.8013
Samaritan Medical Services (Dandora),Nairobi,Hospital,,,,Embakasi North,Dandora,-1.24241,36.912
Samaritan Soul Hospital,Kajiado,Hospital,,,,Kajiado North,Ongata Rongai,-1.3905,36.75325
Samba Medical Clinic,Mombasa,Hospital,,,,Kisauni,Barisheba - Mombasa,-4.02442,39.68785
Samburu Beyond Zero Mobile Clinic,Samburu,Hospital,,,,Samburu Central,Maralal,1.09848,36.69744
Samburu Complex,Isiolo,Hospital,,,,Isiolo,Ngaremara,0.62203,37.68223
Samburu Health Centre,Kwale,Hospital,,,,Kinango,Samburu,-3.79018,39.2698
Samburu Lodge Dispensary,Samburu,Hospital,,,,Samburu East,Archers Post,0.617801,37.4114
Samburu Medical Centre,Kwale,Hospital,,,,Kinango,Samburu,-3.79466,39.26276
Samburu Medical Centre (Outreach Services),Samburu,Hospital,,,,Samburu Central,County Council Houses,1.10075,36.69919
Sambut Dispensary,Uasin Gishu,Hospital,,,,Eldoret West,Eldoret,0.63584,35.1469
Sam-Evan Medical Clinic,Nakuru,Hospital,,,,Nakuru North,Kiti,0.26271,36.10919
Samilo Medical Clinic,Turkana,Hospital,,,,Turkana West,Lokichoggio,4.21592,34.35859
Samkim Medical Clinic,Kiambu,Hospital,,,,Gatundu North,Kamwangi,-0.95793,36.89791
Sam-link medical centre,Nairobi,Hospital,,,,Kasarani,near seasons stage behind clay city medical centre,-1.21722,36.90329
Samoei Medical Clinic,Uasin Gishu,Hospital,,,,Eldoret East,Eldoret,0.69257,35.39015
Samora Clinic,Nyamira,Hospital,,,,Nyamira North,Ekerenyo,-0.53112,34.98774
Samutet Dispensary,Kericho,Hospital,,,,Kericho,Samutet,-0.30792,35.17345
San Marco Project Clinic,Kilifi,Hospital,,,,Malindi,Gongoni,-2.99605,40.19492
Sancta Maria Clinic,Kajiado,Hospital,,,,Kajiado North,Ngong,-1.36237,36.656
Sandai Dispensary,Baringo,Hospital,,,,Marigat,Marigat,0.39262,36.08467
Sanga Dispensary,Kericho,Hospital,,,,Kericho,Kericho,-0.42123,35.09123
Sangailu Health Centre,Garissa,Hospital,,,,Hulugho,Sangailu town,-1.3132,40.72971
Sang'alo Dispensary,Nandi,Hospital,,,,Nandi North,Kapsabet,0.36287,35.0452
Sangekoro Dispensary,Taita Taveta,Hospital,,,,Wundanyi,Werugha,-3.34259,38.30337
Sango Dispensary,Kakamega,Hospital,,,,Likuyani,Sango,0.72878,35.07275
Sango Kabuyefwe Dispensary,Bungoma,Hospital,,,,Bungoma North,Naitiri Market,0.75295,34.92567
Sango Natiri Dispensary,Bungoma,Hospital,,,,Bungoma North,Naitiri,0.83209,34.91034
Sango Rota Dispensary,Kisumu,Hospital,,,,Nyakach,Sangorota,-0.34422,34.88895
Sangole Dispensary,Garissa,Hospital,,,,Ijara,Ijara town,-1.50429,40.59533
Sangurur Dispensary,Elgeyo Marakwet,Hospital,,,,Marakwet West,Kapsowar,0.88,35.56853
Sani Medical Clinic,Meru,Hospital,,,,Imenti South,Keria Mkt,-0.12553,37.67354
Sanitas Lotus Medical Centre,Nairobi,Hospital,,,,Roysambu,Next to index medical centre,-1.20859,36.89432
Sankuri Health Centre,Garissa,Hospital,,,,Garissa,Garissa,-0.30258,39.55863
Santa Lucia Medical Clinic,Kirinyaga,Hospital,,,,Kirinyaga North,Mutithi,-0.72355,37.32165
Santa Maria Medical Clinic,Mombasa,Hospital,,,,Likoni,Mombasa,-4.09207,39.65824
Santa Maria Medical Clinic (Kwale),Kwale,Hospital,,,,Matuga,Shimba Hills,-4.36547,39.41661
Santi Meridian Health Care,Nairobi,Hospital,,,,Embakasi Central, ,-1.26398,36.91451
Saokon Clinic,Homa Bay,Hospital,,,,Rachuonyo South,Chabera Market,-0.42,35.00588
Saola Maternity and Nursing Home,Nairobi,Hospital,,,,Kibra,Ngumo and Golf course estates,-1.31178,36.79913
Saos Dispensary,Baringo,Hospital,,,,Koibatek,Saos,0.10688,35.81452
Saradidi Dispensary,Siaya,Hospital,,,,Rarieda,Nyilima,-0.11288,34.39692
Sarara Chemistry,Trans Nzoia,Hospital,,,,Trans Nzoia West,Within Kitale town,1.02032,35.00038
Saretho Health Centre,Garissa,Hospital,,,,Dadaab,Modogashe,-0.107935,39.7376
Sarif Health Centre,Wajir,Hospital,,,,Habaswein,Sarif trading centre,0.59706,40.59869
Sarimo Medical Centre,Marsabit,Hospital,,,,North Horr,North Horr,3.32018,37.07265
Sarmach Dispensary,West Pokot,Hospital,,,,Pokot Central,Sarmach t centre,1.78771,35.45012
Sarman Dispensary,Wajir,Hospital,,,,Tarbaj,Sarman Trading Centre,2.54054,39.95165
Saro Dispensary,Migori,Hospital,,,,Migori,Nyabisawa,-1.05872,34.41015
Sarova Hotels,Taita Taveta,Hospital,,,,Mwatate,Along Taveta road at Salt lick lodges,-3.51137,38.25158
Saruchat Dispensary,Bomet,Hospital,,,,Sotik,Sotik,-0.77071,35.10795
Sasa Centre,Narok,Hospital,,,,Narok North,Narok town,-1.05201,35.5213
Sasa Centre (Makadara),Nairobi,Hospital,,,,Makadara,South B Shopping Centre,-1.30434,36.83446
Sasa Centre (Westlands),Nairobi,Hospital,,,,Westlands,Westlands,-1.26343,36.803995
Sasa Centre Naivasha (Drop In Service Centre-Disc),Nakuru,Hospital,,,,Naivasha,Naivasha,-0.7145,36.43254
Sasa Centre-Ngara,Nairobi,Hospital,,,,Starehe,Ngara Market,-1.27692,36.82817
Sasimua Dispensary,Nakuru,Hospital,,,,Kuresoi,Muchorwe shopping centre,-0.344,35.661
Satiet Dispensary,Bomet,Hospital,,,,Konoin,Satiet,-0.62831,35.3668
Sau Health Services,Mombasa,Hospital,,,,Likoni,Mombasa,-4.09794,39.64541
Savana Medical Clinic,Mombasa,Hospital,,,,Kisauni,Mombasa,-4.02331,39.68086
Savane Dispensary,Kakamega,Hospital,,,,Kakamega South (Ikolomani),Sabane Mkt,0.17,34.72382
Savani Medical Centre,Mombasa,Hospital,,,,Likoni,Mombasa,-4.10297,39.64272
Savani Tea Dispensary,Nandi,Hospital,,,,Nandi East,Nandi Hills,0.07063,35.11683
Savannah Likoni Medical Centre,Mombasa,Hospital,,,,Likoni,Mombasa,-4.08483,39.65374
Savannah Medical Clinic,Turkana,Hospital,,,,Turkana Central,Lodwar,3.11323,35.59956
Savimbi Medical Clinic,Narok,Hospital,,,,Trans Mara East,Murgan,-1.05862,35.06037
Sawa Ikombe Medical Clinic,Machakos,Hospital,,,,Yatta, ,-1.29279,37.67876
Sawa Makutano Medical Clinic,Machakos,Hospital,,,,Yatta, ,-1.17257,37.3511
Sawa Medical Consultants,Kiambu,Hospital,,,,Thika West,Thika,-1.02794,37.0685
Sayyid Aysha Dispensary,Kisumu,Hospital,,,,Kisumu East,Kisumu,-0.10062,34.75038
Sayyida Fatimah Hospital,Mombasa,Hospital,,,,Kisauni,Mombasa,-4.02832,39.68701
School For The Deaf (Machakos),Machakos,Hospital,,,,Machakos,Machakos,-1.5276,37.26137
Scion Healthcare Ltd Clinic,Nairobi,Hospital,,,,Embakasi South,Kobil Mukuru,-1.32805,36.89217
SDA Health Services Likoni Road Clinic,Nairobi,Hospital,,,,Makadara, ,-1.30762,36.85686
Sea Breeze Medical Clinic,Kilifi,Hospital,,,,Malindi,Seabreeze,-3.13367,40.07555
Seaside Hospital Mariakani,Kilifi,Hospital,,,,Kaloleni,Mariakani town,3.45671,39.47743
Seaside Nursing Home,Mombasa,Hospital,,,,Mvita,"Ganjoni Primary School, Mansoni Hotel",-4.06465,39.66483
Seed of Hope Medical Clinic,Trans Nzoia,Hospital,,,,Kwanza,Kitale,1.05583,34.96481
Sega Cottage Hospital,Siaya,Hospital,,,,Ugenya,Sega Township,0.25934,34.22549
Sega Dispensary,Siaya,Hospital,,,,Ugenya,Sega Township,0.26353,34.2271
Sega Health Centre,Siaya,Hospital,,,,Ugenya,Sega Township,0.26353,34.2271
Segera Mission Dispensary,Laikipia,Hospital,,,,Laikipia East,Nanyuki,0.15182,36.88787
Segere Dispensary,Siaya,Hospital,,,,Siaya,Boro Market,0.11233,34.24462
Segero Dispensary,Uasin Gishu,Hospital,,,,Eldoret West,Eldoret,0.93077,35.2573
Segero Dispensary,Busia,Hospital,,,,Nambale,Nambale,0.49225,34.26634
Segetet Dispensary,Kericho,Hospital,,,,Kipkelion,Barsiele Market,-0.14007,35.4772
Sego Dispensary,Elgeyo Marakwet,Hospital,,,,Keiyo South,Iten,0.40456,35.62696
Segut Dispensary,Elgeyo Marakwet,Hospital,,,,Marakwet East,Kapsowar,1.10587,35.45583
Segutiet Dispensary,Bomet,Hospital,,,,Bomet Central,Bomet,-0.70346,35.25675
Seguton Dispensary,Baringo,Hospital,,,,Koibatek,Timboroa centre,0.04755,35.56373
Seka Health Centre,Homa Bay,Hospital,,,,Suba,Magunga Town,-0.73846,34.13543
Sekenani Health Centre,Narok,Hospital,,,,Narok South,Sekenani Market,-1.44312,35.393
Sekerr Dispensary,West Pokot,Hospital,,,,Pokot Central,Mbara,1.37937,35.26115
Seketet Dispensary,Samburu,Hospital,,,,Samburu Central,Seketet village,1.13407,36.59742
Selma medical clinic,Nairobi,Hospital,,,,Roysambu,GithuraiI 45,-1.20269,36.91513
Semikaro Dispensary,Tana River,Hospital,,,,Tana Delta,Tarasaa,-2.50869,40.28561
Sena Health Centre,Homa Bay,Hospital,,,,Mbita,Sena,-0.46828,34.06427
Sengani Dispensary,Machakos,Hospital,,,,Matungulu,Tala,-1.25014,37.32333
Sengera Health Centre (Gucha),Kisii,Hospital,,,,Gucha,Sengera Market,-0.86483,34.7203
Senior Staff Medical Clinic (MCM),Mombasa,Hospital,,,,Mvita,Mombasa,-4.06217,39.67344
Seniors Medical Services,Kajiado,Hospital,,,,Isinya,Kitengela,-1.48076,36.95413
Senye Medical Clinic,Nairobi,Hospital,,,,Kibra,soweto West,-1.3144,36.77614
Sera Dispensary,Tana River,Hospital,,,,Tana Delta,Garsen,-2.12826,40.12462
Serawongo Dispensary,Siaya,Hospital,,,,Bondo,Nango,-0.15221,34.13437
Sere Clinic,Taita Taveta,Hospital,,,,Wundanyi,Wundanyi,-3.39207,38.3745
Seregeya Dispensary,Kakamega,Hospital,,,,Likuyani,Turbo,0.66375,35.10736
Serem Health Centre,Vihiga,Hospital,,,,Hamisi, ,0.08013,34.85275
Serem Health Centre (Nandi South),Nandi,Hospital,,,,Nandi South,Serem Market,0.06678,34.85958
Seren Dispensary,Samburu,Hospital,,,,Samburu North,Arsim market,1.87238,37.06345
Serena Beach Hotel & Spa Staff Clinic,Mombasa,Hospital,,,,Kisauni,Shanzu,-3.97185,39.7502
Serena Medical Clinic,Kilifi,Hospital,,,,Malindi,malindi,-3.22709,40.10338
Sereng Dispensary,Kericho,Hospital,,,,Kipkelion,Forttenan,-0.20197,35.37494
Sereolipi Health Centre,Samburu,Hospital,,,,Samburu East,Sereolipi,1.1244,37.6199
Sererit Catholic Dispensary,Samburu,Hospital,,,,Samburu North,Latakweny,1.663447,37.236664
Seretunin Health Centre,Baringo,Hospital,,,,Baringo Central,Kabarnet,0.55313,35.7876
Seretut Dispensary,Kericho,Hospital,,,,Belgut,Kericho,-0.43234,35.19611
Seretut Medical Clinic,Kericho,Hospital,,,,Belgut,Seretut,-0.43068,35.18705
Serewo Health Centre,West Pokot,Hospital,,,,West Pokot,Kapenguria,1.33196,35.00004
Sergoit Clinic,Uasin Gishu,Hospital,,,,Eldoret East,Eldoret,0.60296,35.3993
Sergoit Dispensary (Eldoret East),Uasin Gishu,Hospital,,,,Eldoret East,Eldoret,0.61212,35.39451
Sergoit Dispensary (Keiyo),Elgeyo Marakwet,Hospital,,,,Keiyo,Iten,0.67551,35.4435
Sericho Health Centre,Isiolo,Hospital,,,,Garbatula,Sericho,1.13778,39.10453
Serotec Medical Clinic,Makueni,Hospital,,,,Makindu,Makindu,-2.28463,37.82419
Setano Dispensary,Elgeyo Marakwet,Hospital,,,,Keiyo South,Eldoret,0.21101,35.61285
Setek Dispensary,Nandi,Hospital,,,,Tinderet,Nandi Hills,0.00228,35.39269
Seth Medical Clinic,Kiambu,Hospital,,,,Limuru,"Limuru town,",-1.11061,36.64437
Sevani Medical Centre,Mombasa,Hospital,,,,Likoni,Mombasa,-4.10297,39.64271
Sex Workers Operation Project (Swop),Nairobi,Hospital,,,,Starehe,Nairobi,-1.2852,36.821
Sex Workers Outreach Program (Lang'ata),Nairobi,Hospital,,,,Langata,Lang'ata shopping Mall,-1.32436,36.78293
SGRR Medical Clinic,Nairobi,Hospital,,,,Langata,South C shopping center,-1.31425,36.82726
Shaam Nursing Home,Nairobi,Hospital,,,,Kamukunji,Nairobi,-1.27085,36.847
Shabab Intergrated Medical Clinic,Nakuru,Hospital,,,,Nakuru,In Ali Nasha Building,-0.29536,36.05888
Shacolas Orthodox Medical Clinic,Kiambu,Hospital,,,,Kikuyu,Nderi,-1.2205,36.65349
Shafshafey Health Centre,Mandera,Hospital,,,,Mandera East,shafshafey center,3.92481,41.82361
Shallom Dispensary,Laikipia,Hospital,,,,Laikipia Central,Winyumiririe,-0.04865,36.65074
Shalom Community Health Centre,Kajiado,Hospital,,,,Kajiado Central,Kajiado TOWN,-1.84316,36.78575
Shalom Community Hospital (Athi River),Machakos,Hospital,,,,Athi River,Athi River Town,-1.43588,36.96594
Shalom Community Hospital (Machakos),Machakos,Hospital,,,,Machakos,Machakos,-1.5246,37.2663
Shalom Community Hospital Mukuyuni Satelite,Makueni,Hospital,,,,Kilungu,mukuyuni,-1.74786,37.46446
Shalom Community Wamunyu Satellite Clinic,Machakos,Hospital,,,,Mwala,Wamunyu,-1.40955,37.56332
Shalom Health Services,Mombasa,Hospital,,,,Kisauni,Mombasa,-4.02564,39.7103
Shalom Medical Centre,Turkana,Hospital,,,,Turkana West,Lokichoggio,4.24126,34.3986
Shalom Medical Clinic,Kisumu,Hospital,,,,Seme,Reru Market Centre,-0.11168,34.45309
Shalom Medical Clinic (Embu),Embu,Hospital,,,,Manyatta,Embu,-0.56523,37.48286
Shalom Medical Clinic (Thika),Murang'a,Hospital,,,,Gatanga, ,-0.904477,36.9041
Shalom Medical Clinical,Baringo,Hospital,,,,Koibatek,Eldama Ravine,0.04204,35.706
Shalom Satelite Clinic,Machakos,Hospital,,,,Kathiani,Mitaboni Market,-1.37713,37.25066
Shalome Medical Clinic,Kiambu,Hospital,,,,Ruiru,Githurai 45,-1.211,36.93907
Shamakhubu Health Centre,Kakamega,Hospital,,,,Kakamega East (Shinyalu),Shinyalu,0.26468,34.82788
Shamata Health Centre,Nyandarua,Hospital,,,,Nyandarua North,Nyahururu,-0.19639,36.50559
Shamberere Dispensary,Kakamega,Hospital,,,,Kakamega North (Malava),Kakunga,0.373421,34.835122
Shammah Clinic,Kiambu,Hospital,,,,Thika West,Juja,-1.090559,37.02143
Shammah Medical Clinic,Kitui,Hospital,,,,Kitui Central,Kitui,-1.36595,38.01022
Shanga Dispensary,Lamu,Hospital,,,,Lamu East,Shanga village,-2.33554,40.3456
Shangia Dispensary,Kilifi,Hospital,,,,Kaloleni,Shangia,-3.80689,39.41075
Shanka Medical,Murang'a,Hospital,,,,Muranga South,Ichagaki,-0.82054,37.04255
Shankoe Dispensary,Narok,Hospital,,,,Trans Mara West - Dikirr,Endonyokopit Market,-0.96931,34.79592
Shanta Abaq Dispensary (Wajir West),Wajir,Hospital,,,,Wajir West,Griftu,1.68426,39.89372
Shantaabaq Health Centre (Lagdera),Garissa,Hospital,,,,Lagdera,Modogashe,0.45801,39.74149
Shanzu Teachers College Clinic,Mombasa,Hospital,,,,Kisauni,Mombasa,-3.9682,39.74233
Sharifik Medical Clinic,Nairobi,Hospital,,,,Roysambu,opp Kahawa west Baptist church,-1.18485,36.9041
Sharom Dispensary,Nyandarua,Hospital,,,,Nyandarua Central,Mawingo,-0.35812,36.32205
Shartuka Dispensary,Narok,Hospital,,,,Trans Mara West - Dikirr,Shartuka Market,-0.96859,34.94777
Shauri Dispensary,Nyandarua,Hospital,,,,Nyandarua North,Mairo Inya,-0.04224,36.42464
Shauri Moyo Baptist VCT Centre,Nairobi,Hospital,,,,Kamukunji,Nairobi,-1.2887,36.8462
Shauri Moyo Clinic,Nairobi,Hospital,,,,Kamukunji,Burma Market,-1.29047,36.84841
Shauri Moyo Health Services,Nairobi,Hospital,,,,Kamukunji,Shauri Moyo,-1.29002,36.84573
Sheikh Nurein Medical Centre,Mombasa,Hospital,,,,Mvita,Mwembe Tayari,-4.05998,39.6656
Shekina Medical Clinic,Nairobi,Hospital,,,,Kasarani,opp. Equity bank kasarani,-1.21837,36.90035
Shekinah Medical Clinic,Trans Nzoia,Hospital,,,,Trans Nzoia East,Kitale,0.98251,35.22221
Shelemba,Taita Taveta,Hospital,,,,Mwatate,Shelemba,-3.43143,38.46534
Shella Dispensary,Lamu,Hospital,,,,Lamu West,Shella,-2.27788,40.9492
Shepherds Medical Clinic Maringo,Nairobi,Hospital,,,,Makadara,Maringo Shopping Centre,-1.29363,36.86612
Shianda Baptist Clinic,Kakamega,Hospital,,,,Mumias,Mumias,0.31586,34.57625
Shianda Dispensary,Kakamega,Hospital,,,,Kakamega Central (Lurambi),Shinda,0.3222,34.57247
Shibanga Medical Clinic,Kakamega,Hospital,,,,Butere,Sabatia,0.23723,34.54687
Shibanze Dispensary,Kakamega,Hospital,,,,Matungu,Mumias,0.415591,34.529008
Shibwe Sub-District Hospital,Kakamega,Hospital,,,,Kakamega South (Ikolomani),Malinya Mkt,0.20577,34.72305
Shifa Medical Clinic (Moyale),Marsabit,Hospital,,,,Moyale,Moyale,3.5208,39.0552
Shifaa Nursing Home,Wajir,Hospital,,,,Wajir East,Wajir,1.75129,40.05686
Shihalia Dispensary,Kakamega,Hospital,,,,Kakamega South (Ikolomani),Isulu Mkt,0.18853,34.704223
Shihome Dispensary,Kakamega,Hospital,,,,Kakamega North (Malava),Kakunga,0.39138,34.79209
Shika Adabu (MCM) Dispensary,Mombasa,Hospital,,,,Likoni,Mombasa,-4.11271,39.63764
Shikamoo Medical Clinic,Kiambu,Hospital,,,,Ruiru,Ruiru,-1.14658,36.95811
Shikokho Dispensary,Kakamega,Hospital,,,,Kakamega South (Ikolomani),Malinya Mkt,0.18303,34.72056
Shikumu Dispensary,Kakamega,Hospital,,,,Kakamega South (Ikolomani), ,0.17222,34.66717
Shikunga Health Centre,Kakamega,Hospital,,,,Butere,Butere,0.21743,34.49913
Shikusa Health Centre,Kakamega,Hospital,,,,Kakamega East (Shinyalu),Lubao,0.31857,34.81241
Shikusi Dispensary,Kakamega,Hospital,,,,Kakamega East (Shinyalu),Khayega,0.20371,34.79913
Shiloh Nursing Clinic,Mombasa,Hospital,,,,Kisauni,V.O.K Stage,-4.02824,39.6885
Shimba Hills Health Centre,Kwale,Hospital,,,,Matuga,Shimba Hills,-4.35774,39.4179
Shimbir Fatuma Health Centre,Mandera,Hospital,,,,Mandera Central,Elwak,3.0242,40.51025
Shimbrey Dispensary,Garissa,Hospital,,,,Garissa,Garissa,-0.03054,39.49775
Shimo Borstal Dispensary (GK Prison),Mombasa,Hospital,,,,Kisauni,Mombasa,-3.96818,39.73365
Shimo La Tewa Annex Dispensary (GK Prison),Mombasa,Hospital,,,,Kisauni,Shanzu - Mombasa,-3.96256,39.72619
Shimo La Tewa High School Dispensary,Mombasa,Hospital,,,,Kisauni,Mombasa,-3.96036,39.74356
Shimo-La Tewa Health Centre (GK Prison),Mombasa,Hospital,,,,Kisauni,Shanzu,-3.9562,39.73845
Shimoni Dispensary,Kwale,Hospital,,,,Msambweni,Msambweni,-4.64508,39.37883
Shimuli Medical Clinic,Kakamega,Hospital,,,,Kakamega East (Shinyalu),Ivihiga,0.32314,34.92656
Shinyalu Health Centre,Kakamega,Hospital,,,,Kakamega East (Shinyalu),Shinyalu,0.22118,34.81296
Shiply Medical Centre & Lab,Nairobi,Hospital,,,,Kasarani,Hunters,-1.23011,36.9228
Shiraha Health Centre,Kakamega,Hospital,,,,Butere,Khushiasa,0.19682,34.57071
Shirikisho Dispensary,Homa Bay,Hospital,,,,Rachuonyo South,Oyugis Town,-0.51185,34.73161
Shirikisho Medical Dispensary,Tana River,Hospital,,,,Tana Delta,Tarasaa,-2.41364,40.0899
Shirikisho Methodist Dispensary,Tana River,Hospital,,,,Tana Delta,Garsen,-2.35652,40.13379
Shiru Health Centre,Vihiga,Hospital,,,,Hamisi, ,0.16167,34.91163
Shisaba Dispensary,Kakamega,Hospital,,,,Butere,Lunza,0.23641,34.55751
Shiseso Health Centre,Kakamega,Hospital,,,,Kakamega South (Ikolomani),Shimanyiro Mkt,0.23131,34.70353
Shitoto Medical Clinic,Kakamega,Hospital,,,,Kakamega Central (Lurambi),Luanda Shop Mkt,0.329045,34.7449
Shitsitswi Health Centre,Kakamega,Hospital,,,,Butere,Shitsitswi,0.26325,34.50429
Shivakala Dispensary,Kakamega,Hospital,,,,Kakamega North (Malava),Shamoni market,0.36792,34.77732
Shivanga Health Centre,Kakamega,Hospital,,,,Kakamega North (Malava),Butali,0.53218,34.84643
Shomella Dispensary,Kilifi,Hospital,,,,Magarini,Gongoni,-2.98021,40.05606
Shompole Dispensary,Kajiado,Hospital,,,,Kajiado North,Magadi,-2.09331,36.11861
Shree Cutchhi Leva Samaj Medical Clinic,Nairobi,Hospital,,,,Langata,Nairobi West Shopping Center,-1.3101,36.82421
Shree Cuteh Sat Sanf Swaminara,Mombasa,Hospital,,,,Mvita,Mombasa,-4.0566,39.6651
Shujaa Project Namanga,Kajiado,Hospital,,,,Kajiado Central,Namanga,-2.54898,36.79319
Shujaa Satellite Clinic,West Pokot,Hospital,,,,West Pokot,Makutano,1.25918,35.09522
Shukrani Medical Clinic,Mombasa,Hospital,,,,Kisauni,Mombasa,-4.04336,39.68613
Shura Dispensary (Chalbi),Marsabit,Hospital,,,,Marsabit North,Marsabit town,2.3181,38.05986
Shwak Medical Clinic,Kiambu,Hospital,,,,Kikuyu,Kiambaa,-1.19896,36.655
Siabai Makonge Dispensary,Migori,Hospital,,,,Kuria East,Ntimaru,-1.333476,34.70867
Siakago Boys High School Dispensary,Embu,Hospital,,,,Mbeere North,Siakago,-0.53662,37.64514
Siakago Clinic,Embu,Hospital,,,,Mbeere North,Siakago,-0.58005,37.6418
Siala Kaduol,Siaya,Hospital,,,,Gem,Akala,0.0122,34.46104
Siana Springs Dispensary,Narok,Hospital,,,,Narok South,Sekenani Market,-1.62098,35.4262
Siaya County Referral Beyond Zero Moble Clinic Dispensary,Siaya,Hospital,,,,Siaya, ,0.06313,34.2839
Siaya District Hospital,Siaya,Hospital,,,,Siaya,Siaya,0.06313,34.2839
Siaya Medical Centre,Siaya,Hospital,,,,Siaya,Siaya Town,0.06702,34.28735
Sibayan Dispensary,Bomet,Hospital,,,,Bomet Central,Kapkoros,-0.41147,35.1885
Sibilo Dispensary,Baringo,Hospital,,,,Baringo North,Kabartonjo,0.70729,35.89596
Siboti Health Centre,Bungoma,Hospital,,,,Bumula,Malakisi,0.62874,34.46034
Sibuoche Dispensary,Migori,Hospital,,,,Uriri,Sibuoche,-0.96494,34.37522
Sieka Dispensary,Kisii,Hospital,,,,Marani,Gesieka Mkt,-0.57337,34.76402
Sifuyo Dispensary,Siaya,Hospital,,,,Ugenya,Sifuyo Shopping Centre,0.15086,34.12707
Sigilai (Cmc) Clinic,Narok,Hospital,,,,Trans Mara East,Njipship,-0.93594,35.00515
Sigomere Health Centre,Siaya,Hospital,,,,Ugunja,Sigomere Market,0.1963,34.3645
Sigor Sub District Hospital,West Pokot,Hospital,,,,Pokot Central,Sigor,1.4855,35.46777
Sigor Sub-District Hospital,Bomet,Hospital,,,,Chepalungu,Bomet,-0.91417,35.29807
Sigoro Dispensary,Baringo,Hospital,,,,Koibatek,Eldama Ravine,0.11946,35.73347
Sigot Dispensary,Nandi,Hospital,,,,Nandi North,Eldoret,0.42928,35.15729
Sigoti Health Centre,Kisumu,Hospital,,,,Nyakach,Sigoti,-0.34667,34.97091
Sigowet Sub-District Hospital,Kericho,Hospital,,,,Belgut,Sigowet,-0.39564,35.04871
Sikalame Dispensary,Siaya,Hospital,,,,Ugunja,Sigomere Market,0.16876,34.4051
Sikarira Dispensary,Busia,Hospital,,,,Butula,Butula,0.340637,34.329
Sikh Temple Hospital,Makueni,Hospital,,,,Makindu,Makindu,-2.28328,37.82118
sikhendu,Trans Nzoia,Hospital,,,,Trans Nzoia West, ,0.84838,34.86796
Sikhendu Disp,Trans Nzoia,Hospital,,,,Trans Nzoia West,Kitale,0.83194,34.85924
Sikhendu Medical Clinic,Trans Nzoia,Hospital,,,,Trans Nzoia West,Kitale,0.83565,34.86581
Siksik Dispensary,Nandi,Hospital,,,,Nandi South,Kaptumo market,0.13162,35.10565
Sikulu Dispensary,Bungoma,Hospital,,,,Bungoma Central,Teremi,0.724645,34.860585
Sikusi Dispensary,Bungoma,Hospital,,,,Bungoma Central, Chwele Market,0.6934,34.55788
Silaloni Dispensary,Kwale,Hospital,,,,Kinango,Samburu,-3.62041,39.2822
Silanga (MSF Belgium) Dispensary,Nairobi,Hospital,,,,Kibra,Silanga village,-1.31738,36.79603
