name,county,sub_county,nearest-landmark,lat,lon,type
Sharifik Medical Clinic,Nairobi,Roysambu,opp Kahawa west Baptist church,-1.18485,36.9041,Hospital
Sharom Dispensary,Nyandarua,Nyandarua Central,Mawingo,-0.35812,36.32205,Hospital
Shartuka Dispensary,Narok,Trans Mara West - Dikirr,Shartuka Market,-0.96859,34.94777,Hospital
Shauri Dispensary,Nyandarua,Nyandarua North,Mairo Inya,-0.04224,36.42464,Hospital
Shauri Moyo Baptist VCT Centre,Nairobi,Kamukunji,Nairobi,-1.2887,36.8462,Hospital
Shauri Moyo Clinic,Nairobi,Kamukunji,Burma Market,-1.29047,36.84841,Hospital
Shauri Moyo Health Services,Nairobi,Kamukunji,Shauri Moyo,-1.29002,36.84573,Hospital
Sheikh Nurein Medical Centre,Mombasa,Mvita,Mwembe Tayari,-4.05998,39.6656,Hospital
Shekina Medical Clinic,Nairobi,Kasarani,opp. Equity bank kasarani,-1.21837,36.90035,Hospital
Shekinah Medical Clinic,Trans Nzoia,Trans Nzoia East,Kitale,0.98251,35.22221,Hospital
Shelemba,Taita Taveta,Mwatate,Shelemba,-3.43143,38.46534,Hospital
Shella Dispensary,Lamu,Lamu West,Shella,-2.27788,40.9492,Hospital
Shepherds Medical Clinic Maringo,Nairobi,Makadara,Maringo Shopping Centre,-1.29363,36.86612,Hospital
Shianda Baptist Clinic,Kakamega,Mumias,Mumias,0.31586,34.57625,Hospital
Shianda Dispensary,Kakamega,Kakamega Central (Lurambi),Shinda,0.3222,34.57247,Hospital
Shibanga Medical Clinic,Kakamega,Butere,Sabatia,0.23723,34.54687,Hospital
Shibanze Dispensary,Kakamega,Matungu,Mumias,0.415591,34.529008,Hospital
Shibwe Sub-District Hospital,Kakamega,Kakamega South (Ikolomani),Malinya Mkt,0.20577,34.72305,Hospital
Shifa Medical Clinic (Moyale),Marsabit,Moyale,Moyale,3.5208,39.0552,Hospital
Shifaa Nursing Home,Wajir,Wajir East,Wajir,1.75129,40.05686,Hospital
Shihalia Dispensary,Kakamega,Kakamega South (Ikolomani),Isulu Mkt,0.18853,34.704223,Hospital
Shihome Dispensary,Kakamega,Kakamega North (Malava),Kakunga,0.39138,34.79209,Hospital
Shika Adabu (MCM) Dispensary,Mombasa,Likoni,Mombasa,-4.11271,39.63764,Hospital
Shikamoo Medical Clinic,Kiambu,Ruiru,Ruiru,-1.14658,36.95811,Hospital
Shikokho Dispensary,Kakamega,Kakamega South (Ikolomani),Malinya Mkt,0.18303,34.72056,Hospital
Shikumu Dispensary,Kakamega,Kakamega South (Ikolomani), ,0.17222,34.66717,Hospital
Shikunga Health Centre,Kakamega,Butere,Butere,0.21743,34.49913,Hospital
Shikusa Health Centre,Kakamega,Kakamega East (Shinyalu),Lubao,0.31857,34.81241,Hospital
Shikusi Dispensary,Kakamega,Kakamega East (Shinyalu),Khayega,0.20371,34.79913,Hospital
Shiloh Nursing Clinic,Mombasa,Kisauni,V.O.K Stage,-4.02824,39.6885,Hospital
Shimba Hills Health Centre,Kwale,Matuga,Shimba Hills,-4.35774,39.4179,Hospital
Shimbir Fatuma Health Centre,Mandera,Mandera Central,Elwak,3.0242,40.51025,Hospital
Shimbrey Dispensary,Garissa,Garissa,Garissa,-0.03054,39.49775,Hospital
Shimo Borstal Dispensary (GK Prison),Mombasa,Kisauni,Mombasa,-3.96818,39.73365,Hospital
Shimo La Tewa Annex Dispensary (GK Prison),Mombasa,Kisauni,Shanzu - Mombasa,-3.96256,39.72619,Hospital
Shimo La Tewa High School Dispensary,Mombasa,Kisauni,Mombasa,-3.96036,39.74356,Hospital
Shimo-La Tewa Health Centre (GK Prison),Mombasa,Kisauni,Shanzu,-3.9562,39.73845,Hospital
Shimoni Dispensary,Kwale,Msambweni,Msambweni,-4.64508,39.37883,Hospital
Shimuli Medical Clinic,Kakamega,Kakamega East (Shinyalu),Ivihiga,0.32314,34.92656,Hospital
Shinyalu Health Centre,Kakamega,Kakamega East (Shinyalu),Shinyalu,0.22118,34.81296,Hospital
Shiply Medical Centre & Lab,Nairobi,Kasarani,Hunters,-1.23011,36.9228,Hospital
Shiraha Health Centre,Kakamega,Butere,Khushiasa,0.19682,34.57071,Hospital
Shirikisho Dispensary,Homa Bay,Rachuonyo South,Oyugis Town,-0.51185,34.73161,Hospital
Shirikisho Medical Dispensary,Tana River,Tana Delta,Tarasaa,-2.41364,40.0899,Hospital
Shirikisho Methodist Dispensary,Tana River,Tana Delta,Garsen,-2.35652,40.13379,Hospital
Shiru Health Centre,Vihiga,Hamisi, ,0.16167,34.91163,Hospital
Shisaba Dispensary,Kakamega,Butere,Lunza,0.23641,34.55751,Hospital
Shiseso Health Centre,Kakamega,Kakamega South (Ikolomani),Shimanyiro Mkt,0.23131,34.70353,Hospital
Shitoto Medical Clinic,Kakamega,Kakamega Central (Lurambi),Luanda Shop Mkt,0.329045,34.7449,Hospital
Shitsitswi Health Centre,Kakamega,Butere,Shitsitswi,0.26325,34.50429,Hospital
Shivakala Dispensary,Kakamega,Kakamega North (Malava),Shamoni market,0.36792,34.77732,Hospital
Shivanga Health Centre,Kakamega,Kakamega North (Malava),Butali,0.53218,34.84643,Hospital
Shomella Dispensary,Kilifi,Magarini,Gongoni,-2.98021,40.05606,Hospital
Shompole Dispensary,Kajiado,Kajiado North,Magadi,-2.09331,36.11861,Hospital
Shree Cutchhi Leva Samaj Medical Clinic,Nairobi,Langata,Nairobi West Shopping Center,-1.3101,36.82421,Hospital
Shree Cuteh Sat Sanf Swaminara,Mombasa,Mvita,Mombasa,-4.0566,39.6651,Hospital
Shujaa Project Namanga,Kajiado,Kajiado Central,Namanga,-2.54898,36.79319,Hospital
Shujaa Satellite Clinic,West Pokot,West Pokot,Makutano,1.25918,35.09522,Hospital
Shukrani Medical Clinic,Mombasa,Kisauni,Mombasa,-4.04336,39.68613,Hospital
Shura Dispensary (Chalbi),Marsabit,Marsabit North,Marsabit town,2.3181,38.05986,Hospital
Shwak Medical Clinic,Kiambu,Kikuyu,Kiambaa,-1.19896,36.655,Hospital
Siabai Makonge Dispensary,Migori,Kuria East,Ntimaru,-1.333476,34.70867,Hospital
Siakago Boys High School Dispensary,Embu,Mbeere North,Siakago,-0.53662,37.64514,Hospital
Siakago Clinic,Embu,Mbeere North,Siakago,-0.58005,37.6418,Hospital
Siala Kaduol,Siaya,Gem,Akala,0.0122,34.46104,Hospital
Siana Springs Dispensary,Narok,Narok South,Sekenani Market,-1.62098,35.4262,Hospital
Siaya County Referral Beyond Zero Moble Clinic Dispensary,Siaya,Siaya, ,0.06313,34.2839,Hospital
Siaya District Hospital,Siaya,Siaya,Siaya,0.06313,34.2839,Hospital
Siaya Medical Centre,Siaya,Siaya,Siaya Town,0.06702,34.28735,Hospital
Sibayan Dispensary,Bomet,Bomet Central,Kapkoros,-0.41147,35.1885,Hospital
Sibilo Dispensary,Baringo,Baringo North,Kabartonjo,0.70729,35.89596,Hospital
Siboti Health Centre,Bungoma,Bumula,Malakisi,0.62874,34.46034,Hospital
Sibuoche Dispensary,Migori,Uriri,Sibuoche,-0.96494,34.37522,Hospital
Sieka Dispensary,Kisii,Marani,Gesieka Mkt,-0.57337,34.76402,Hospital
Sifuyo Dispensary,Siaya,Ugenya,Sifuyo Shopping Centre,0.15086,34.12707,Hospital
Sigilai (Cmc) Clinic,Narok,Trans Mara East,Njipship,-0.93594,35.00515,Hospital
Sigomere Health Centre,Siaya,Ugunja,Sigomere Market,0.1963,34.3645,Hospital
Sigor Sub District Hospital,West Pokot,Pokot Central,Sigor,1.4855,35.46777,Hospital
Sigor Sub-District Hospital,Bomet,Chepalungu,Bomet,-0.91417,35.29807,Hospital
Sigoro Dispensary,Baringo,Koibatek,Eldama Ravine,0.11946,35.73347,Hospital
Sigot Dispensary,Nandi,Nandi North,Eldoret,0.42928,35.15729,Hospital
Sigoti Health Centre,Kisumu,Nyakach,Sigoti,-0.34667,34.97091,Hospital
Sigowet Sub-District Hospital,Kericho,Belgut,Sigowet,-0.39564,35.04871,Hospital
Sikalame Dispensary,Siaya,Ugunja,Sigomere Market,0.16876,34.4051,Hospital
Sikarira Dispensary,Busia,Butula,Butula,0.340637,34.329,Hospital
Sikh Temple Hospital,Makueni,Makindu,Makindu,-2.28328,37.82118,Hospital
sikhendu,Trans Nzoia,Trans Nzoia West, ,0.84838,34.86796,Hospital
Sikhendu Disp,Trans Nzoia,Trans Nzoia West,Kitale,0.83194,34.85924,Hospital
Sikhendu Medical Clinic,Trans Nzoia,Trans Nzoia West,Kitale,0.83565,34.86581,Hospital
Siksik Dispensary,Nandi,Nandi South,Kaptumo market,0.13162,35.10565,Hospital
Sikulu Dispensary,Bungoma,Bungoma Central,Teremi,0.724645,34.860585,Hospital
Sikusi Dispensary,Bungoma,Bungoma Central, Chwele Market,0.6934,34.55788,Hospital
Silaloni Dispensary,Kwale,Kinango,Samburu,-3.62041,39.2822,Hospital
Silanga (MSF Belgium) Dispensary,Nairobi,Kibra,Silanga village,-1.31738,36.79603,Hospital
Silanga Community Clinic,Nairobi,Kibra, ,-1.31766,36.7994,Hospital
Silibwet Dispensary,Nakuru,Kuresoi,Pombo Centre,-0.51394,35.71791,Hospital
Silibwet Dispensary (Bomet),Bomet,Bomet Central,Bomet,-0.43822,35.20883,Hospital
Silibwet Health Centre (Nyandaruawest),Nyandarua,Nyandarua West,Boiman,-0.03864,36.29032,Hospital
Siloam Hospital,Kericho,Kericho,Kericho,-0.35835,35.27805,Hospital
Siloam Mediacl Clinic,Kitui,Kitui Central,Kwa kinyai shopping centre,-1.41814,38.04258,Hospital
Siloam Medical Centre,Kiambu,Ruiru,Githurai 45,-1.21314,36.9287,Hospital
Siloam Medical Clinic,Kakamega,Kakamega Central (Lurambi),Kakamega,0.26392,34.75209,Hospital
Siloam Medical Clinic ( Pokot Central),West Pokot,Pokot Central,Sigor,1.48701,35.47105,Hospital
Siloam Medical Clinic (Kajiado),Kajiado,Kajiado North,Kiserian,-1.38423,36.6553,Hospital
Siloam Medical Clinic (Kieni East),Nyeri,Kieni East,Toll,-0.02687,37.06186,Hospital
Siloam Medical Clinic (Malindi),Kilifi,Malindi,Malindi,-3.228,40.11308,Hospital
Siloam Medical clinic(Kwanza),Trans Nzoia,Kwanza,Kitale,1.10201,35.06732,Hospital
Silverdine Medical Centre(lancet hse),Nairobi,Dagoretti North,Nairobi,-1.29621,36.80817,Hospital
Simba Health Centre,Kajiado,Mashuru,Emali,-2.15929,37.59477,Hospital
Simba Opepo Dispensary,Kisumu,Kisumu East,Kisumu,-0.0475,34.79305,Hospital
Simbi Dispensary,Bomet,Sotik,Sotik,-0.72591,35.05906,Hospital
Simbi Kogembo Dispensary,Homa Bay,Rachuonyo North,Oyuma Market,-0.36474,34.62989,Hospital
Simbi Roses Clinic,Murang'a,Gatanga, ,-0.99493,37.02271,Hospital
Simbiri Nanbell Health Centre,Homa Bay,Rachuonyo South,Kosele Market,-0.42618,34.70728,Hospital
Simboiyon Dispensary,Nakuru,Subukia,Near Subukia town,0.07971,36.24398,Hospital
Simenya Dispensary,Siaya,Ugunja,Sega Township,0.15676,34.36433,Hospital
Similani Medical Clinic,Kilifi,Magarini,Marereni,-2.86147,40.14847,Hospital
Simotwet Dispensary,Bomet,Konoin,Simotwet,-0.46979,35.2936,Hospital
Simotwet Dispensary ( Koibatek),Baringo,Koibatek,Eldama Ravine Town,0.08051,35.74476,Hospital
Simotwo Dispensary (Eldoret East),Uasin Gishu,Eldoret East,Eldoret,0.7894,35.41068,Hospital
Simotwo Dispensary (Keiyo),Elgeyo Marakwet,Keiyo South,Eldoret,0.21973,35.53799,Hospital
Simpol Dispensary,West Pokot,Pokot Central, ,1.52941,35.56133,Hospital
Simrose Medical Clinic,Turkana,Turkana West,Lokichoggio,4.24126,34.3986,Hospital
Sina Dispensary,West Pokot,Pokot South,Sina,1.26711,35.36548,Hospital
Sinai clinic,Kitui,Mwingi East,Kaai,-0.99936,38.35623,Hospital
Sinai Maternity and Medical Clinic,Kiambu,Ruiru,Githurai 45,-1.20396,36.93137,Hospital
Sinai Medical Services,Kitui,Mwingi Central,Mwingi Town,-0.93538,38.06043,Hospital
Sinai Mount Hospital,Kajiado,Kajiado North,Ongata Rongai,-1.39607,36.7559,Hospital
Sindo Drop In Centre,Homa Bay,Suba,Sino Town,-0.55,34.13,Hospital
Singawa Medical Centre,Mombasa,Likoni,Mombasa,-4.0835,39.6546,Hospital
Singiraine Dispensary,Kajiado,Kajiado Central,Mile 46,-1.91876,36.49617,Hospital
Single Mothers Association of Kenya (Smak),Nairobi,Starehe,Nairobi,-1.2852,36.821,Hospital
Singorwet Dispensary,Bomet,Bomet Central,Silibwet Market,-0.73111,35.30556,Hospital
Sino Dispensary,Homa Bay,Rachuonyo South,Orembe Market,-0.44663,34.76677,Hospital
Sinoko Dispensary (Bungoma East),Bungoma,Bungoma East,Ndivisi Market,0.65232,34.6906,Hospital
Sinoko Dispensary (Likuyani),Kakamega,Lugari,Moisbridge,0.86778,35.07629,Hospital
Sinonin Dispensary,Uasin Gishu,Eldoret West, ,0.1968,35.37688,Hospital
Sinonin Dispensary (Koibatek),Baringo,Koibatek,Sinonin,0.06907,35.67801,Hospital
Sio Port District Hospital,Busia,Samia,Sio Port,0.22515,34.02132,Hospital
Siomo Dispensary,Bomet,Konoin,Siomo,-0.56171,35.38235,Hospital
Siongi Dispensary,Kericho,Bureti,Tebesonik,-0.58232,35.0931,Hospital
Siongiroi Health Centre,Bomet,Chepalungu,Siongiroi Girls Secondary School,-0.89144,35.21049,Hospital
Sipili Catholic Dispensary,Laikipia,Laikipia West,Sipili Town,0.40978,36.3737,Hospital
Sipili Health Centre,Laikipia,Laikipia West,Sipili Town,0.40426,36.3797,Hospital
Sipili Maternity and Nursing Home,Laikipia,Laikipia West,Sipili,0.40737,36.37903,Hospital
Sirakaru Dispensary,Bungoma,Bungoma North,Naitiri,0.72574,34.89712,Hospital
Sirata Dispensary,Baringo,Baringo Central,Marigat,0.45825,36.10045,Hospital
Sirata Oirobi Dispensary,Samburu,Samburu Central,Sirata Oirobi.,1.04762,36.64921,Hospital
Sirate Health Centre (Manga),Nyamira,Manga,Magombo Market,-0.89002,34.75043,Hospital
Sirembe Dispensary,Siaya,Gem,Wagai(Ondisore)Shopping Centre,0.09503,34.4,Hospital
Sirende Friends Dispensary,Trans Nzoia,Trans Nzoia West, ,0.98226,35.04271,Hospital
Siret Tea Dispensary,Nandi,Nandi East,Nandi Hills,0.07912,35.25655,Hospital
Siriba Dispensary,Kisumu,Kisumu West,Maseno Town,-0.00079,34.61057,Hospital
Sirikwa Peace Dispensary,Nakuru,Kuresoi,Sirikwa,-0.25942,35.66689,Hospital
Sirimba Dispensary,Busia,Bunyala,Port Victoria,0.14419,34.05895,Hospital
Sirimon Dispensary,Meru,Buuri,Sirimon,0.04147,37.22044,Hospital
Sirisia Hospital,Bungoma,Bungoma West,Sirisia,0.75389,34.50905,Hospital
Sironoi GOK Dispensary,Nandi,Chesumei,Kapsabet,0.31355,35.08735,Hospital
Sironoi SDA Dispensary,Nandi,Nandi Central,Kapsabet,0.31555,35.0949,Hospital
Siruti Dispensary,Migori,Awendo,Awendo Market Center / Siruti Village,-0.87812,34.50121,Hospital
Sirwa Dispensary,Nandi,Nandi East,Nandi Hills,0.19964,35.23556,Hospital
Sirwa Dispensary (Mogotio),Baringo,Mogotio,Mogotio,0.17711,35.77176,Hospital
Sisenye Dispensary,Busia,Bunyala,Port Victoria,0.1493,34.011,Hospital
Sisi Kwa Sisi Medical Clinic,Machakos,Mwala,Wamunyu,-1.41006,37.56491,Hospital
Sisiya Dispensary,Elgeyo Marakwet,Marakwet West,Kapsowar,0.99472,35.58785,Hospital
Sisokhe Dispensary,Kakamega,Kakamega Central (Lurambi),Sisokhe,0.4331,34.61191,Hospital
Sister Medical Clinic,Nakuru,Nakuru,At Zakayos,-0.30783,36.07105,Hospital
Sisters Maternity Home (Simaho),Garissa,Garissa,Garissa,-0.45487,39.63867,Hospital
Sisto Mazoldi Dispensary (Rongai),Nakuru,Rongai,Near Rongai Town,-0.17708,35.8695,Hospital
Sitatunga Dispensary,Trans Nzoia,Trans Nzoia East,Kitale,1.10395,35.09968,Hospital
Sitoi Tea Dispensary,Nandi,Nandi East,Nandi Hills,0.0929,35.18068,Hospital
Siu Dispensary,Lamu,Lamu East,Siu,-2.10934,41.08097,Hospital
Siveta Dispensary,Kitui,Tseikuru,Siveta Market,0.24862,38.3248,Hospital
Sivilie Dispensary,Kakamega,Kakamega Central (Lurambi),Navakholo Mkt,0.46955,34.696775,Hospital
Siwadhe Medical Clinic,Siaya,Siaya,Siaya Town,0.0742,34.18147,Hospital
Siwo Dispensary,Nandi,Nandi East,Nandi Hills,0.14379,35.23542,Hospital
Siyiapei (AIC) Dispensary,Narok,Narok North,Narok,-1.08896,35.95531,Hospital
Skans Health Care Centre,Mombasa,Kisauni,Mombasa,-4.01782,39.68419,Hospital
Skanska Dispensary,Garissa,Lagdera, ,0.78304,39.3296,Hospital
Sky Way Medical Clinic,Meru,Imenti South,Kionyo Market,-0.07129,37.65672,Hospital
Skyhill Medical Centre,Nairobi,Dagoretti North,Stage 2,-1.27951,36.75728,Hospital
Skylit Medical Clinic,Nairobi,Kamukunji,Garissa Lodge,-1.27817,36.85169,Hospital
Sloam Medical Clinic,Lamu,Lamu West,Mpeketoni,-2.38859,40.69896,Hospital
Slope Optician,Kirinyaga,Kirinyaga Central,Kagio,-0.37668,37.15427,Hospital
Slopes Medical Clinic,Meru,Imenti North,Timau Market,0.08655,37.24182,Hospital
Slum Medical Clinic,Nairobi,Kibra, ,-1.31404,36.79157,Hospital
Smiles Medical Centre,Nairobi,Westlands, ,-1.27038,36.74537,Hospital
Snocx Medical Clinic,Vihiga,Sabatia, ,0.11684,34.77104,Hospital
Snowview Medical Clinic,Meru,Imenti North, ,0.08353,37.23961,Hospital
Soba River Health Centre,Nandi,Tinderet,Nandi Hills,-0.07379,35.26395,Hospital
Soceno Pharmacy,Meru,Imenti North,Meru Town,0.04627,37.65321,Hospital
Sochoi (AIC) Dispensary,Nandi,Nandi East,Nandi Hills,0.14438,35.26499,Hospital
Sochoi Dispensary,Nandi,Nandi East,Nandi Hills,0.14501,35.3089,Hospital
Social Service League (Nairobi ),Nairobi,Starehe,Bus station,-1.28575,36.82878,Hospital
Soget Dispensary,Narok,Trans Mara East,Murgan Market,-1.0378,35.0472,Hospital
Sogon Dispensary,Baringo,Baringo Central,Kabarnet,0.55762,35.81618,Hospital
Sogoo Health Centre,Narok,Narok South,Ololulunga,-0.81931,35.5809,Hospital
Soin Health Care - Mfangano Street),Nairobi,Starehe,City Market,-1.28514,36.82707,Hospital
Soklo Dispensary,Homa Bay,Mbita,Sena,-0.46828,34.03159,Hospital
Soko Medical Clinic,Kiambu,Lari,Soko Mjinga Market,-0.88699,36.59224,Hospital
Sokoke Dispensary,Kilifi,Ganze,Vitenegeni,-3.52547,39.78235,Hospital
Sokoke Medical Clinic,Kilifi,Ganze,Sokoke,-3.38052,39.7369,Hospital
Sokoni Arcade VCT,Nairobi,Dagoretti North,Nairobi,-1.27974,36.7414,Hospital
Soldier,Nyeri,Kieni East,chaka,-0.21566,37.00055,Hospital
Soldier Medical Clinic,Nyeri,Kieni East,Chaka,-0.35947,37.0085,Hospital
Solea Medical Clinic,Murang'a,Kandara,Kandara,-0.89806,37.00264,Hospital
Solian Dispensary,Baringo,Koibatek,Eldama Ravine,-0.00145,35.75613,Hospital
Soliat Dispensary,Kericho,Kericho,Kericho,-0.32797,35.12091,Hospital
Solio Dispensary,Nyeri,Kieni East,Narumoru,-0.24643,36.94881,Hospital
Sololo Makutano Dispensary,Marsabit,Sololo,Sololo,3.5144,38.6483,Hospital
Sololo Mission Hospital,Marsabit,Sololo,Sololo,3.55549,38.64136,Hospital
Solution Medical Clinic,Garissa,Garissa, ,-0.45342,39.64287,Hospital
Solyot Dispensary,Bomet,Bomet Central,Tarakwa,-0.79575,35.24704,Hospital
Somare Dispensary,Marsabit,Moyale,Moyale,3.51784,39.0316,Hospital
Sombo Dispensary,Tana River,Bura,Sombo,-0.59172,39.69671,Hospital
Somo Medical Clinic,Murang'a,Gatanga, ,-0.936144,36.955,Hospital
Sonak Clinic,Kakamega,Khwisero,Khwisero,0.173484,34.5755,Hospital
Sondany Dispensary,West Pokot,Pokot South,Sondany,1.32569,35.42355,Hospital
Sondu Health Centre,Kisumu,Nyakach,Sondu,-0.38696,35.0103,Hospital
Songa Health Centre,Marsabit,Marsabit,Marsabit,2.24362,38.00373,Hospital
Songeto Dispensary,Elgeyo Marakwet,Keiyo,Iten,0.59368,35.55594,Hospital
Songonyet Dispensary,Kericho,Kipkelion,Forttenan,-0.12453,35.4072,Hospital
Sony Medical Centre,Migori,Awendo,Awendo,-0.89366,34.53335,Hospital
Sooma Dispensary,Kitui,Katulani,Sooma shopping Centre,-1.4641,37.8918,Hospital
Sopa Lodge Dispensary,Samburu,Samburu East,Kiltamany,0.60893,37.52455,Hospital
Sopel Dispensary,Turkana,Turkana South,Lodwar,2.78931,35.52154,Hospital
Sore Dispensary,Baringo,Mogotio,Mogotio,0.19831,35.75428,Hospital
Sori Lakeside Nursing and Maternity Home,Migori,Nyatike,Sori,-0.84103,34.15471,Hospital
Sorok Dispensary,Baringo,Baringo Central,Kabarnet,0.23909,35.76089,Hospital
SOS Children Medical Clinic,Kisumu,Kisumu West,Kiboswa,-0.05882,34.73286,Hospital
SOS Dispensary,Nairobi,Embakasi West,Nairobi,-1.27452,36.8748,Hospital
Sos Medical Clinic (Eldoret East),Uasin Gishu,Eldoret East,Eldoret,0.51049,35.30426,Hospital
Sosera Dispensary,Kisii,Masaba South,Sosera,-0.8623,34.98804,Hospital
Sosian Dispensary,Laikipia,Laikipia West,Kinamba ( Sosian),0.43175,36.68142,Hospital
Sosiana Dispensary,Narok,Trans Mara East,Murgan,-1.07158,35.03077,Hospital
Sosiani Health Centre,Uasin Gishu,Eldoret West,Eldoret,0.56997,35.15882,Hospital
Sosio Medical Clinic,Bungoma,Mt Elgon,Kaptama,0.87918,34.77702,Hospital
Sosiot Health Centre,Kericho,Belgut,Kericho,-0.361,35.17356,Hospital
Sosiot Medical Centre,Kericho,Belgut,Sosiot,-0.3636,35.17013,Hospital
Sosit Dispensary,Kericho,Bureti,Kapkatet,-0.63916,35.16711,Hospital
Sosoni Dispensary,Kilifi,Magarini,Wakala,-3.02795,39.323,Hospital
Sostin  Dispensary,West Pokot,Pokot Central, ,1.5732,35.40925,Hospital
Soteni Dispensary,Bungoma,Bungoma North,Naitiri,0.72676,34.8738,Hospital
Sotik Health Centre,Bomet,Sotik,Sotik,-0.6941,35.10716,Hospital
Sotik Highlands Dispensary,Nyamira,Borabu,Ikonge,-0.58546,35.05137,Hospital
Sotik Town VCT,Bomet,Sotik,Sotik,-0.68964,35.11102,Hospital
Sotit Dispensary,Bomet,Konoin,Sotit,-0.58079,35.36219,Hospital
South B Hospital Ltd,Nairobi,Starehe,South B Shopping Centre,-1.31225,36.83669,Hospital
South B Police Band Dispensary,Nairobi,Starehe,Nairobi South B shopping Centre,-1.31512,36.83465,Hospital
South Eastern Kenya University (Seku) Health Unit,Kitui,Kitui Central,Kwa vonza Market,-1.00591,37.80472,Hospital
South Horr Catholic Health Centre,Samburu,Samburu North,South Horr Market,1.78523,36.79277,Hospital
South Horr Dispensary,Samburu,Samburu North,South Horr Market,2.09279,36.90593,Hospital
South Ngariama Dispensary,Kirinyaga,Kirinyaga South,Itangi,-0.60691,37.4618,Hospital
Southern Health Care,Nairobi,Langata,South C shopping center,-1.31398,36.82765,Hospital
Sowa Medcal Clinic,Lamu,Lamu West,Hindi town,-2.17893,40.81533,Hospital
Soweto Kayole PHC Health Centre,Nairobi,Embakasi Central,Corner Kayole Market,-1.26843,36.9211,Hospital
Soweto Medical Clinic,Mombasa,Changamwe,Mombasa,-4.02856,39.61546,Hospital
Soweto West Community Clinic,Nairobi,Kibra, ,-1.31633,36.77604,Hospital
Soy Health Centre,Uasin Gishu,Eldoret West,Eldoret,0.67699,35.17256,Hospital
Soy Resource Centre,Kakamega,Likuyani,Soy,0.68144,35.15509,Hospital
Soy Sambu Dispensary,Kakamega,Likuyani,Soy Sambu,0.77699,35.10492,Hospital
Soymet Dispensary,Bomet,Sotik,Sotik,-0.71065,35.15288,Hospital
Soysambu (ACK) Dispensary,Bungoma,Bungoma North,Tongaren,0.77,34.8,Hospital
Spa Nursing Home,Kiambu,Ruiru,Ruiru town,-1.14276,36.98239,Hospital
Sparki Health Services,Mombasa,Mvita,Mombasa,-4.04195,39.66153,Hospital
Special Provision Clinic,Nairobi,Embakasi West,Nairobi,-1.27597,36.89595,Hospital
Special Treatment Clinic,Nairobi,Starehe,Nairobi,-1.27457,36.83137,Hospital
Sportlight Empowerment Group,Nandi,Nandi South,Serem,0.06678,34.85958,Hospital
Sports View CFW Medical Clinic,Kiambu,Ruiru, ,-1.19951,37.0312,Hospital
Springs Health Care Clinic,Meru,Igembe Central,Kangeta Market,0.2752,37.88748,Hospital
Springs of Life Lutheran Dispensary,Nairobi,Kibra,Olympic,-1.31089,36.77941,Hospital
Springs of Patmos Health Services,Kiambu,Githunguri,Githiga Town,-1.08634,36.73342,Hospital
Sr Rhoda Medical Clinic,Meru,Buuri,Timau,0.08032,37.2356,Hospital
Srisathya Sai Medical Clinic,Nairobi,Westlands, ,-1.26386,36.76455,Hospital
Ssema Medical Clinic,Kirinyaga,Kirinyaga West,Kagio,-0.62636,37.2557,Hospital
St Agnes Clinic,Migori,Kuria West,Isibania,-1.24226,34.47657,Hospital
St Agnes Health Care Clinic,Kisii,Sameta,Itumbe,-0.45415,34.46648,Hospital
St Agnes Kiaganari,Embu,Embu East,Kathangeri,-0.397331,37.6092,Hospital
St Akidiva Memorial Hospital,Migori,Migori,Migori Town,-1.16889,34.451,Hospital
St Akidiva Mindira Hospital - Mabera,Migori,Kuria West,Mabera Market,-1.15184,34.44747,Hospital
St Aloysius Gonzaga School Dispensary,Nairobi,Langata,Otiende shopping center,-1.32118,36.78362,Hospital
St Andrew Umoja Medical Clinic,Murang'a,Kigumo,Iriguini,-0.76977,36.92981,Hospital
St Andrews Kabare (ACK) Dispensary,Kirinyaga,Kirinyaga East, Kabare,-0.50575,37.32045,Hospital
St Andrews Medical Clinic,Kilifi,Magarini,Gongoni market,-3.03411,40.1374,Hospital
St Andrews Medical Clinic - Eldoret,Uasin Gishu,Eldoret West,Health Centre,0.65159,35.28453,Hospital
St Andrews Othodox Clinic,Kakamega,Lugari,Makutano,0.734766,34.9587,Hospital
St Angela Melici Health Centre,Kiambu,Kikuyu,Kingeero,-1.22872,36.70614,Hospital
St Angela Merici Health Centre (Kingeero),Nairobi,Westlands,Near Wangige Town,-1.228851,36.706285,Hospital
St Ann Hospital,Meru,Imenti South,Igoji Mkt,-0.19313,37.66709,Hospital
St Ann Medical Clinic,Nakuru,Gilgil,Gilgil Town,-0.49964,36.3266,Hospital
St Ann Medical Clinic (Naivasha),Nakuru,Naivasha,Mai mahiu centre,-0.98343,36.58651,Hospital
St Anne (ACK) Dispensary,Murang'a,Kiharu,Muranga,-0.71746,37.15611,Hospital
St Anne CFW Clinic,Kirinyaga,Kirinyaga East, ,-0.49619,37.05072,Hospital
St Anne Kariene Dispensary,Meru,Meru Central,Kariene Market,-0.04068,37.66195,Hospital
St Anne Medical Centre (Mombasa),Mombasa,Kisauni,Mombasa,-4.03561,39.69071,Hospital
St Anne Mida Catholic Dispensary,Kilifi,Kilifi North,Gede,-3.20793,40.06075,Hospital
St Anne's Cry For The World Clinic (Raimu),Kirinyaga,Kirinyaga East,Kianyaga,-0.49619,37.05072,Hospital
